what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1398967368666
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1398967371483
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1398967377578
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1398967379763
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398967392825
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967394323
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967410387
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967415573
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967508249
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1398967516319
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1398967516532
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1398967517992
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1398967523408
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398967536362
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967537397
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967555515
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967568774
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967572755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967573677
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967574958
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967575485
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967581892
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1398967598011
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1398967613366
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1398967634546
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1398967636950
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398967646863
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967648876
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967654576
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1398967672692
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1398967674538
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1398967676223
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1398967679020
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398967681868
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967682747
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967692675
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1398967741414
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1398967744055
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1398967748390
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1398967750125
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398967755719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1398967763121
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1398967765595
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398967767748
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1398967778215
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1398967780234
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1398967784100
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1398967785989
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1398967793984
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1398967796267
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1398967799533
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1398967802866
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398967805198
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967806475
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967817247
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967819372
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967834055
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967874523
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967883425
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398967937812
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967938979
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967947368
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967964378
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967987390
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398967994193
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968005109
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398968022340
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968025250
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968031063
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968032466
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968320525
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1398968324649
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398968327529
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968329151
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968340970
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968348456
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968351996
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398968384413
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968385280
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968391602
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398968399758
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968401527
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968405694
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968408495
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968483252
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968636765
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968660674
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398968752149
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398969108281
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398969235792
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398969237263
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970385750
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970387745
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970456988
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970463208
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970492737
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970497864
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970634299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970647328
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970666083
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970673135
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970745851
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398970760403
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.saveAll",1398970774854
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970775951
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970784154
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970798654
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970814503
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970872733
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970881018
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398970949470
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398971006395
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398971010356
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398971021272
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398971035508
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398971036935
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1398971038268
