what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403168040785
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403168977486
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403168979775
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403168981135
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403169044027
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403169045158
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403169521425
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403169522133
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403170968995
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403170970669
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403172844643
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403172845429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403172968921
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403172969203
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403172971801
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173058981
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173313399
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173314898
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173317599
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173317607
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173376108
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173376363
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173376441
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173378005
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173410933
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173412801
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173415224
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173422299
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173471607
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173473392
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173475879
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173475887
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173513522
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173513673
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173513759
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403173515465
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403177844847
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403177846051
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403177851132
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403177889830
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403178072348
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403178422679
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403178424139
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403178425382
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1403178426038
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1403178433693
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1403178433726
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1403178433727
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1403178433727
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1403178433811
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1403178433824
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1403178433824
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1403178433824
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1403178433835
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1403178433836
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1403178433836
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1403178433836
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1403178433928
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1403178433931
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1403178433931
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1403178433931
stopped,bundle,org.eclipse.rse.importexport,1.2.100.v201003010830,"org.eclipse.rse.importexport",1403178433964
stopped,bundle,org.eclipse.rse.shells.ui,3.0.200.v201006041352,"org.eclipse.rse.shells.ui",1403178433996
stopped,bundle,org.eclipse.rse.files.ui,3.1.100.v201005221100,"org.eclipse.rse.files.ui",1403178434054
stopped,bundle,org.eclipse.rse.processes.ui,3.0.200.v201003010830,"org.eclipse.rse.processes.ui",1403178434095
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1403178434096
stopped,bundle,org.eclipse.wst.jsdt.web.ui,1.0.300.v201006030742,"org.eclipse.wst.jsdt.web.ui",1403178434096
stopped,bundle,org.eclipse.wst.web.ui,1.1.400.v201004141630,"org.eclipse.wst.web.ui",1403178434119
stopped,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1403178434120
stopped,bundle,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.ui",1403178434120
